city,longtitude,latitude
yogyakarta,110.3672257,-7.9778384
batam,104.0383696,1.1030815
bengkulu,102.5359834,-3.5186763
tanjung pinang,104.446094,0.9236915
jakarta,106.827183,-6.1753942
east java,112.4914199,-7.6977397
lampung,105.0272986,-4.8555039
palembang,104.756857,-2.9888297
surabaya,112.7378266,-7.2459717
kalimantan,113.4681361,-0.64878425
bandung,107.6049539,-6.9344694
medan,98.6738261,3.5896654
lombok,116.3580819,-8.58356375
bali,2.320041022,48.8588897
tanjung balai,99.8020903,2.9703419
pekan baru,100.4884536,5.1237075
banjarmasin,114.5925828,-3.3187496
java,109.613911,-7.3279694
makassar,119.4124282,-5.1342962
manado,124.8408708,1.4900578
solo,110.828448,-7.5692489
padang,100.3632561,-0.9247587
semarang,110.4229104,-6.9903988
denpasar,115.2191175,-8.6524973
jambi/telanaipura,103.582567,-1.6065101
pontianak,109.3447488,-0.0226903
balikpapan,116.8593379,-1.2398711
papua/irian jaya,133.6095046,-2.0818312
bogor,106.7972421,-6.5962986
riau,101.5475811,0.5004112
malang,112.6340291,-7.9771206
sumatra,101.6241024,-0.14329415
west java,107.6404716,-6.8891904
magelang,110.2145133,-7.51361445
indonesia,117.8902853,-2.4833826
pangkal pinang,106.1134604,-2.1206733
lingga,104.4141614,-0.5094966
tangerang,106.6382161,-6.1761924
java timur,3.7022564,51.0314945
bintan,104.5698189,1.01965765
sulawesi,120.2948856,-1.9758004
maluku,126.6562293,-3.4591432
palangkaraya,113.9164372,-2.2072919
cirebon/tjirebon,108.5218354,-6.7679942
sukabumi,106.7346608,-7.07645085
sumbawa,117.2716068,-8.5949025
surakarta,110.828448,-7.5692489
bekasi,106.9945444,-6.2349858
kupang,123.6017755,-10.1632209
samarinda,117.1393089,-0.5017804
aceh,97.0253024,4.3685491
jawa barat,107.6404716,-6.8891904
karimun,103.4287445,0.76538705
selat panjang,109.3701621,-0.0154652
banten,106.1375586,-6.4453801
jogjakarta,110.364917,-7.8011945
mataram/lombok,116.1022297,-8.5618359
dumai,101.4470369,1.6631967
temburong,115.1648385,4.62361385
